,date,away,home,time
0,"Tue, Oct 19, 2021",Brooklyn Nets,Milwaukee Bucks,7:30p
1,"Tue, Oct 19, 2021",Golden State Warriors,Los Angeles Lakers,10:00p
2,"Wed, Oct 20, 2021",Indiana Pacers,Charlotte Hornets,7:00p
3,"Wed, Oct 20, 2021",Chicago Bulls,Detroit Pistons,7:00p
4,"Wed, Oct 20, 2021",Boston Celtics,New York Knicks,7:30p
5,"Wed, Oct 20, 2021",Washington Wizards,Toronto Raptors,7:30p
6,"Wed, Oct 20, 2021",Cleveland Cavaliers,Memphis Grizzlies,8:00p
7,"Wed, Oct 20, 2021",Houston Rockets,Minnesota Timberwolves,8:00p
8,"Wed, Oct 20, 2021",Philadelphia 76ers,New Orleans Pelicans,8:00p
9,"Wed, Oct 20, 2021",Orlando Magic,San Antonio Spurs,8:30p
10,"Wed, Oct 20, 2021",Oklahoma City Thunder,Utah Jazz,9:00p
11,"Wed, Oct 20, 2021",Sacramento Kings,Portland Trail Blazers,10:00p
12,"Wed, Oct 20, 2021",Denver Nuggets,Phoenix Suns,10:00p
13,"Thu, Oct 21, 2021",Dallas Mavericks,Atlanta Hawks,7:30p
14,"Thu, Oct 21, 2021",Milwaukee Bucks,Miami Heat,8:00p
15,"Thu, Oct 21, 2021",Los Angeles Clippers,Golden State Warriors,10:00p
16,"Fri, Oct 22, 2021",New York Knicks,Orlando Magic,7:00p
17,"Fri, Oct 22, 2021",Indiana Pacers,Washington Wizards,7:00p
18,"Fri, Oct 22, 2021",Charlotte Hornets,Cleveland Cavaliers,7:00p
19,"Fri, Oct 22, 2021",Toronto Raptors,Boston Celtics,7:30p
20,"Fri, Oct 22, 2021",Brooklyn Nets,Philadelphia 76ers,7:30p
21,"Fri, Oct 22, 2021",Oklahoma City Thunder,Houston Rockets,8:00p
22,"Fri, Oct 22, 2021",New Orleans Pelicans,Chicago Bulls,8:00p
23,"Fri, Oct 22, 2021",San Antonio Spurs,Denver Nuggets,9:00p
24,"Fri, Oct 22, 2021",Phoenix Suns,Los Angeles Lakers,10:00p
25,"Fri, Oct 22, 2021",Utah Jazz,Sacramento Kings,10:00p
26,"Sat, Oct 23, 2021",Atlanta Hawks,Cleveland Cavaliers,6:00p
27,"Sat, Oct 23, 2021",Miami Heat,Indiana Pacers,7:00p
28,"Sat, Oct 23, 2021",Dallas Mavericks,Toronto Raptors,7:30p
29,"Sat, Oct 23, 2021",Detroit Pistons,Chicago Bulls,8:00p
30,"Sat, Oct 23, 2021",New Orleans Pelicans,Minnesota Timberwolves,8:00p
31,"Sat, Oct 23, 2021",Milwaukee Bucks,San Antonio Spurs,8:30p
32,"Sat, Oct 23, 2021",Phoenix Suns,Portland Trail Blazers,10:00p
33,"Sat, Oct 23, 2021",Memphis Grizzlies,Los Angeles Clippers,10:30p
34,"Sun, Oct 24, 2021",Charlotte Hornets,Brooklyn Nets,4:00p
35,"Sun, Oct 24, 2021",Boston Celtics,Houston Rockets,7:00p
36,"Sun, Oct 24, 2021",Orlando Magic,New York Knicks,7:00p
37,"Sun, Oct 24, 2021",Philadelphia 76ers,Oklahoma City Thunder,7:00p
38,"Sun, Oct 24, 2021",Golden State Warriors,Sacramento Kings,9:00p
39,"Sun, Oct 24, 2021",Memphis Grizzlies,Los Angeles Lakers,9:30p
40,"Mon, Oct 25, 2021",Boston Celtics,Charlotte Hornets,7:00p
41,"Mon, Oct 25, 2021",Milwaukee Bucks,Indiana Pacers,7:00p
42,"Mon, Oct 25, 2021",Chicago Bulls,Toronto Raptors,7:30p
43,"Mon, Oct 25, 2021",Orlando Magic,Miami Heat,7:30p
44,"Mon, Oct 25, 2021",Washington Wizards,Brooklyn Nets,7:30p
45,"Mon, Oct 25, 2021",Detroit Pistons,Atlanta Hawks,7:30p
46,"Mon, Oct 25, 2021",New Orleans Pelicans,Minnesota Timberwolves,8:00p
47,"Mon, Oct 25, 2021",Cleveland Cavaliers,Denver Nuggets,9:00p
48,"Mon, Oct 25, 2021",Portland Trail Blazers,Los Angeles Clippers,10:30p
49,"Tue, Oct 26, 2021",Philadelphia 76ers,New York Knicks,7:30p
50,"Tue, Oct 26, 2021",Golden State Warriors,Oklahoma City Thunder,8:00p
51,"Tue, Oct 26, 2021",Los Angeles Lakers,San Antonio Spurs,8:30p
52,"Tue, Oct 26, 2021",Houston Rockets,Dallas Mavericks,8:30p
53,"Tue, Oct 26, 2021",Denver Nuggets,Utah Jazz,10:00p
